id,Name,Author,Status
1,文学少女,野村美月,1
2,TIGER×DRAGON！(龙与虎),竹宫悠由子,0
3,魔法禁书目录,镰池和马,0
4,笨蛋，测验，召唤兽,井上坚二,1
5,狼与香辛料(狼与辛香料),支仓冻砂,1
6,化物语(物语系列一),西尾维新,1
7,碧阳学园学生会议事录(学生会的一己之见),葵关南,1
8,全金属狂潮(惊爆危机),贺东招二,0
9,说谎的男孩与坏掉的女孩,入间人间,1
10,对某飞行员的追忆,犬村小六,1
11,黄昏色的咏使,细音启,0
12,奇诺之旅,时雨泽惠一,0
13,零之使魔,山口升,1
14,灼眼的夏娜,高桥弥七郎,0
16,神的记事本,杉井光,1
17,戏言系列,西尾维新,1
18,虫之歌,岩井恭平,1
19,艾莉森,时雨泽惠一,1
20,伯爵与妖精,谷瑞惠,1
22,初恋魔法电击,明日香正太,1
24,电波系彼女,片山宪太郎,1
25,恶魔少女,わかつきひかる,1
26,终焉的年代记,川上稔,1
27,最终兵器彼女,江良至,1
28,月姬,奈须蘑菇,1
29,镇魂系列,北泽大辅,1
30,最后大魔王,水城正太郎,1
31,夜明前的琉璃色,杂贺匡,1
32,月兔公主,野村美月,1
33,月兔升空时,平坂读,1
34,银河英雄传说,田中芳树,1
35,银魂 3年Z组银八老师,大崎知仁,1
36,银盘万花筒,海原零,1
37,伊里野的天空UFO的夏天,秋山瑞人,1
38,云之彼端约定之地,新海诚,1
39,药师寺凉子怪奇事件簿,田中芳树,1
40,仰望半月的夜空,桥本纺,0
41,虚轴少女,藤原佑,1
43,献上女神的祝福,岩田洋季,1
44,学校的阶梯,棹末高彰,1
46,我的亲爱主人!?,鹰野佑希,1
47,我的妹妹哪有这么可爱(我的妹妹不可能那么可爱),伏见司,1
48,我的狐仙女友,西野かつみ,1
49,我的世界守护者,谷川流,1
50,我们俩的田村同学,竹宫悠由子,1
51,我家有个狐仙大人,柴村仁,1
52,我们的蔬菜不够,浅沼广太,1
53,我的腐女友,ペんだふ,1
54,万岁系列,三浦勇雄,1
55,天使养成法则,浅沼广太,1
56,铁达尼亚,田中芳树,1
57,图书馆战争,有川浩,0
58,逃离学校!,谷川流,1
59,天空之钟 响彻惑星,渡濑草一郎,1
60,糖果子弹,樱庭一树,1
61,听到涛声(海潮之声),冰室冴子,1
62,圣魔之血,吉田直,1
63,十二国记,小野不由美,1
64,少年阴阳师,结城光流,1
65,神样家族,桑岛由一,1
66,死亡笔记外传,西尾维新,1
67,死神剧场版小说,松原真琴,1
68,三月，七日。,森桥宾果,1
69,水夏,杂贺匡,1
71,死后文,雨宫谅,1
72,死神的歌谣,长谷川启介,1
73,神灯女仆,夏绿,1
74,声音x魔法,白濑修,1
76,圣魔少女,林智明,1
77,ROOM NO.1301,新井辉,1
78,犬神,有泽真水,1
79,节哀唷二之宫同学(请别忧伤了二之宫君),铃木大辅,1
80,青叶君与宇宙人,松野秋鸣,1
81,琦莉,壁井有可子,1
82,七姬物语,高野和,1
83,秋吉同学帮帮忙！,不破悠,1
84,奇幻贵公子(恶灵猎人),小野不由美,1
85,AIR 青空,key,1
87,蔷薇的玛利亚,十文字青,1
88,轻小说的快乐写作法,本田透,1
89,扑杀天使朵库萝,おかゆまさき,1
90,乃木坂春香的秘密,五十岚雄策,1
91,世界系列,西尾维新,1
92,梅格与赛隆,时雨泽惠一,1
93,魔法使之夜,奈须蘑菇,1
94,魔法少女奈叶,都筑真纪,1
95,魔法学园MA,榊一郎,1
96,魔法人力派遣公司(出租魔法使),三田诚,1
97,MM一族,松野秋鸣,1
98,模造王女骚动记,榊一郎,1
99,秒速5厘米,合作,1
100,魔界战记迪斯凯亚,神代创,1
101,魔法战士李维,水野良,1
102,凉宫春日物语,谷川流,0
103,罗德斯岛战记,水野良,1
104,罗德斯岛传说,水野良,1
105,莉莉亚与特雷兹,时雨泽惠一,1
106,怜Ren,水口敬文,1
107,LOVE YOU 我的勇者公主,七月隆文,1
108,龙之界点,城崎火也,1
109,蓝兰岛漂流记,雾海正悟,1
110,恋上不死之男的少女,空野一树,1
111,小小破坏者 Little Busters! SSS,系井健一,1
112,空之境界,奈须蘑菇,1
113,狂乱家族日记,日日日,1
114,kanon 雪之少女官方小说,清水真理子,1
115,壳中少女,冲方丁,1
116,矿物质超女,冬树忍,1
117,狂恋声优宝贝,木本雅彦,1
118,骷髅恋人,平坂读,1
119,空罐少女,蓝上陆,1
120,肯普法,筑地俊彦,1
121,今天开始做魔王,乔林知,1
122,姬宫学姊的内在美,月见草平,1
123,绞缬城绮谭,田中芳树,1
124,惊爆草莓,公野樱子,1
125,家庭教师REBORN,子安秀明,1
126,角鸮与夜之王,红玉伊月,0
127,将花束献给月亮与你,志村一矢,1
129,吉永家的石像怪,田口仙年堂,1
130,君吻,日暮茶坊,1
131,9S,叶山透,0
132,甲贺忍法帖,山田风太郎,1
133,欢迎加入NHK！,泷本龙彦,1
134,红 Kure-nai,片山宪太郎,1
135,篁破幻草子,结城光流,1
136,红尘,田中芳树,1
138,海啸,田中芳树,1
141,BLACK BLOOD BROTHERS 黑血兄弟,字野耕平,1
142,高校女仆警察,泽上水也,1
143,高中女神,ひかわ玲子,1
144,GOSICK,樱庭一树,1
145,贵族侦探爱德华,椹野道流,1
146,歌月十夜,奈须蘑菇,1
147,钢壳都市雷吉欧斯,雨木秀介,1
149,钢铁白兔骑士团,舞阪洸,1
150,风之大陆,竹河圣,1
151,风之圣痕,山门敬弘,1
153,废弃公主,榊一郎,1
155,绯华Sparkling,藤原征失,1
156,福音少年,加地尚武,1
157,付丧堂古董店,御堂彰彦,1
158,扉之外,土桥真二郎,1
162,EX！,织田兄第,1
163,恶狼难驯,黑川实,1
164,恶魔召唤使 王权之剑,中里融司,1
165,恶魔同盟,うえお久光,1
166,恶女来敲门,织田兄第,1
167,打工魔法师,椎野美由贵,1
168,电击!!神盾5少女,谷川流,1
169,DDD,奈须蘑菇,1
170,第108年的初恋,末永外徒,1
171,DoubleDown 以小博大的勘缲郎,西尾维新,1
172,D.C.Ⅱ 初音岛II,杂贺匡,1
173,渎神之主,榊一郎,1
174,彩云国物语,雪乃纱衣,1
175,创龙传,田中芳树,1
176,虫与眼球,日日日,1
177,抽签勇者,清水文化,1
178,穿越时空的少女,筒井康隆,1
179,虫师,漆原友纪,1
180,传说中勇者的传说,镜贵也,1
181,超钢女雪拉,寺田とものり,1
182,铳姬,高殿円,1
183,CLANNAD官方外传小说,麻枝准,1
184,D.C.初音岛,杂贺匡,1
185,C3魔幻三次方(魔方少女),水濑叶月,1
186,超人家族一家和乐,桥本和也,1
188,赤色罗曼史,藤原佑,1
189,超妹大战,古桥秀之,1
190,爱的魔法,筑地俊彦,1
191,暗夜魔法使,菊池武,1
192,Bad！Daddy亲亲坏老爹,野村美月,1
194,半熟公主,榊一郎,1
197,我们的幸福时光,筑地俊彦,1
198,在世界中心呼唤爱,片山恭一,1
199,壮丽的黎明,庄司卓,1
200,战斗司书,山形石雄,1
201,战娘交响曲,筑地俊彦,1
202,拯救你的最初咒语,须堂项,1
203,战斗！暴风少女！,佐佐原始绪,1
204,增血鬼果林,甲斐透,1
205,樱色家族,杉井光,1
206,阴沉少女与黑魔法之恋,熊谷雅人,1
207,月阳炎,杂贺匡,1
208,幽灵恋人,平坂读,1
209,圆桌学生会,本田透,1
210,银环计划,田中芳树,1
212,亚普菲兰特,田中芳树,1
213,亚尔斯兰战记,田中芳树,1
215,影≒光 Shadow Light,影名浅海,1
216,银河英雄传说外传,田中芳树,1
217,银河铁道999,松本零士,1
218,BACCANO！大骚动(永生之酒),成田良悟,1
219,银河铁道之夜,宫泽贤治,1
220,星界系列,森冈浩之,1
221,SLAYERS！秀逗魔导士(魔剑美神),神坂一,1
222,吸血鬼猎人D,菊地秀行,1
223,xxxHOLiC,西尾维新,1
224,巷说百物语,京极夏彦,1
226,学园奇诺,时雨泽惠一,1
228,学院圣殿,早见裕司,1
230,羞羞三角,五十岚雄策,1
231,学姐与我,冲田雅,1
232,消极的快乐、电锯的边缘,泷本龙彦,1
233,虚界怪造学,日日日,1
234,夏日魔术,田中芳树,1
235,新本格魔法少女莉丝佳,西尾维新,1
236,星之梦,KEY,1
237,杀死龙的方法,津守时生,1
238,为婚纱衬上深红蔷薇,田中芳树,1
239,为夜空的双子座衬上深红蔷薇,冈崎裕信,1
240,舞姬恋风传,深山薰衣,1
241,王宫罗曼史革命,藤原真莉,1
242,维多利亚蔷薇色,青木祐子,1
243,魍魉之匣,京极夏彦,1
244,物质幽灵,葵关南,1
245,玩伴猫耳娘,神野奥那,1
247,桃源之药,山本瑶,1
248,特务魔法使,すえばしけん,1
249,THE THIRD,星野亮,1
250,特甲少女,冲方丁,1
251,魔学诡术士,久住四季,1
252,铁球公主艾蜜莉,八剃玉造,1
253,退魔少女队,すずきあきら,1
254,神之游戏,宫崎柊羽,1
255,圣母在上(玛莉亚的凝望),今野绪雪,1
257,尸鬼,小野不由美,1
258,SHI-NO 黑魂少女,上月雨音,1
259,手心里的太阳,岛津出水,1
260,三千世界鸦杀,津守时生,1
261,圣工的末裔,八原ゆう,1
262,沙耶之歌,虚渊玄,1
263,神秘少女羽音,织田兄第,1
264,Tales of the Abyss 深渊传奇 绯色的旋律(深渊传说),矢岛沙罗,1
265,死神与巧克力冰淇淋,花凰神也,1
266,SH@PPLE 双子丽人,竹冈叶月,1
267,水星领航员,藤咲あゆな,1
268,神秘博物馆,藤春都,1
269,SAS公主特勤组,鸟居羊,1
270,丧神之碑,津守时生,1
271,神曲奏界 红,榊一郎,1
272,神曲奏界 黑,大迫纯一,1
273,神曲奏界 白,高殿円,1
274,神曲奏界 蓝,筑地俊彦,1
275,神曲奏界 共鸣乐章,合作,1
276,人间系列,西尾维新,1
278,人类衰退之后,田中罗密欧,1
279,pulp,森桥宾果,1
281,尼罗河女儿,丁凡馨,1
282,南方之岛·梦境之中,秋山瑞人,1
284,鸟笼庄的房客今日也慵懒,壁井有可子,1
285,幽灵少女与科学少年,飞田甲,1
286,美丽人生,北川悦吏子,1
287,明天好天气,雨森麻杜,1
288,梦幻都市,田中芳树,1
289,魔女的红线,田口一,1
290,魔界转生,山田风太郎,1
291,某一天，炸弹从天而降,古桥秀之,1
292,MAMA,红玉伊月,0
293,七人武器店,大乐绚太,1
294,柳生忍法帖,山田风太郎,1
295,柳生忍法帖(第二部),山田风太郎,1
296,龙眠,宫部美雪,1
298,卡莲坂高中可爱广播社,铃本红,1
299,空想科学读本,柳田理科雄,1
300,灵感少女,松原真琴,1
301,简单易懂的现代魔法,樱坂洋,1
304,混沌军团,冲方丁,1
305,后院的神明,神野オキナ,1
306,DAS SCHWARZE HERZ 黑色心脏,桑原水菜,1
307,鬼哭街,虚渊玄,1
308,怪物猎人,ゆうきりん,1
309,骨王,野村佳,1
310,狗牙灭绝之刃(狗牙绝剑),舞阪洸,1
311,姑获鸟之夏,京极夏彦,1
312,银之镇魂歌,吉原理惠子,1
314,风之王国,毛利志生子,1
315,歌剧系列,栗原ちひろ,1
316,光明之风×光明之泪,加納新太,1
317,Fate Zero,虚渊玄,1
318,刀语,西尾维新,1
320,断头人中村奈奈子,日日日,1
321,吊线木偶症候群,乾久留美,1
322,大家的阿葵儿,浅沼广太,1
323,尘骸魔京,海法纪光,1
324,苍穹之战神,冲方丁,1
325,电波男,本田透,1
326,串刺少女,木村航,1
327,CUTTING伤痕,翅田大介,1
328,悲伤的奇美拉(悲伤奇美拉),来乐零,1
329,白貌传道师,虚渊玄,1
331,白夜的吊钟,田中芳树,1
332,贝维克传说,冰上慧一,1
333,Bird Heart Beat,伊东京一,1
334,女神侧身像(北欧女神),梅村崇,1
335,悖德之城,桑原水菜,1
336,阿妮丝与爱摆臭脸的魔法使,花房牧生,1
337,Angel voice,奈须蘑菇,1
338,神与人之歌,津守时生,1
339,伯爵大人的爱情生活,高月祭,1
340,复仇之虎,田中芳树,1
341,我是她的第九顺位,佐野しなの,1
342,黑妖精之吻,川人忠明,1
343,静流姐系列,上远野浩平,1
344,单恋的麒麟,志村一矢,1
345,盖棺论定,文冈あちら,1
346,卡莉,高殿円,1
347,Fate Strange Fake,成田良悟,1
349,BLACK SHEEP 圣夜迷途的黑羊,富永浩史,1
350,自卫队三部曲,有川浩,1
351,绯弹的亚莉亚(绯弹的亚里亚),赤松中学,0
352,夏希☆全力出击,树户英斗,1
353,叛逆的鲁路修(反叛的鲁路修),岩佐守,1
354,妹妹公主,公野樱子,1
356,Wizard＇s brain,三枝零一,1
358,青梅竹马,吉原理惠子,1
360,纯爱罗曼史,藤崎都,1
361,利亚兰的少年王与龙骑士,花衣沙久罗,1
362,宙士诺德(飞天诺德),赤松中学,1
363,白夜行,东野圭吾,1
365,空中骑士系列,森博嗣,1
366,德尔菲尼亚战记,茅田砂胡,1
367,我的爱马很凶恶,新井辉,1
368,Fate Stay Night,奈须蘑菇,1
369,淑女骑士团,千田诚行,1
370,流星慢舞,桥本纺,1
371,暮蝉悲鸣之时(寒蝉鸣泣之时),龙骑士07,1
372,海盗风云,松冈夏树,1
373,真·天地无用,梶岛正树,1
374,三坪房间的侵略者！？,健速,1
375,向日葵不开的夏天,道尾秀介,1
377,交响情人梦,高里椎奈,1
378,怪物猎人2G 疾风之翼,冰上慧一,1
379,女仆☆机关枪,将吉,1
380,海猫鸣泣之时,龙骑士07,1
381,加速世界,川原砾,1
382,斩鬼夜鸟子,树田省治,1
383,朱 Aka,清水真理子,1
384,.hack／／AI buster,滨崎达也,1
385,同居五重奏！,越后屋铁舟,1
386,大小姐X执事(管家后宫学园),上月司,1
387,放学后的征服世界,わかつきひかる,1
388,离别的钢琴奏鸣曲,杉井光,0
389,梦神的教室,三上延,1
390,流星之绊,东野圭吾,1
391,眼镜少女 HOLIC,上栖缀人,1
392,眼镜之心,ゆうきりん,1
393,破天神记,荻原规子,1
394,女帝·龙凰院麟音的初恋,风见周,1
396,战斗妖精雪风,神林长平,1
397,伤物语(物语系列二),西尾维新,1
398,银月之书,枯野瑛,1
399,电波女与青春男,入间人间,0
400,绫辻行人馆系列,绫辻行人,1
401,德鲁伊来啰!,志瑞佑,1
402,弹珠汽水,鸿野贵光,1
403,恋爱超能力(小齿轮),樋口司,1
404,机巧魔神,三云岳斗,1
405,沙漠国物语,仓吹智绘,1
406,神曲奏界 异色协奏,合作,1
407,掀起世界危机,佐藤了,1
408,纯爱咖啡厅,球江奈津子,1
409,舞-HiME,吉野弘幸,1
410,铁鼠之槛,京极夏彦,1
411,密斯玛路卡兴国物语,林智明,1
412,无头骑士异闻录DuRaRaRa!!,成田良悟,0
413,杀×爱,风见周,1
414,开朗的家族炮计划！,新木伸,1
415,变装魔界留学生(捏～捏～裘特!),野岛研二,1
416,佰物语,西尾维新,1
417,轻小说社,平坂读,1
418,我俩开始征服世界,冈崎登,1
420,幸运时刻!(幸运机会!),有泽真水,1
421,伪物语(物语系列三),西尾维新,1
422,夏目友人帐(妖怪连络簿),绿川幸,1
423,黑执事,不详,1
424,TOY JOY POP 狂热青春,浅井ラボ,1
425,恋爱制造机,本田透,1
426,闲狼作家是美少女妖怪,杉井光,1
427,手机听众,西尾维新,1
428,我甜蜜的苦涩系列,森田季节,1
429,侵略少女与谎言庭院,清水真理子,1
430,第十三种人格的恐怖,贵志袏介,1
432,圣兽王的新娘,高远砂夜,1
433,Campione!(弑神者!),丈月城,1
434,侍卫,舞阪洸,1
435,辉夜魔王式!,月见草平,1
437,青之轨迹,久能千明,1
438,疾走!青春期的帕拉贝伦,深见真,1
439,东京吸血鬼金融,真藤顺丈,1
440,萝球社！,苍山サグ,1
441,临界杀机(境界人),神崎紫电,1
443,黑猫 BLACK CAT,大崎知仁,1
444,幸运星官方小说,竹井10日,0
445,千剑飞舞的天空,冈本タクヤ,1
446,IS(Infinite Stratos),弓弦逸鹤,1
447,爱说谎的精灵妹妹,清水真理子,1
448,Vamp！,成田良悟,1
449,脑髓地狱,梦野久作,1
450,雪螳螂,红玉伊月,0
451,水乳交揉！(触摸魔女),镜裕之,1
452,菖蒲的少女革命！,志茂文彦,1
453,企鹅之夏,六塚光,1
455,百花缭乱,すずきぁきら,1
456,恋空,美嘉,1
457,月兔的银色方舟,鸭志田一,1
458,钢之炼金术师,井上真,1
459,森博嗣S＆M系列(全部成为F),森博嗣,1
460,幻灵镇魂曲(幻灵地狱 PHANTOM OF INFERNO),虚渊玄,1
461,热情X冷颤(制服X短裤),本田透,1
462,我的女神 初终,冬马由美,1
463,吸血歼鬼,虚渊玄,1
464,学园歌剧,山川进,1
465,只有神知道的世界,有泽真水,1
466,白山同学与黑色手提袋,铃木铃,1
467,我的朋友很少,平坂读,1
468,好想做个女孩子,三叶,1
469,欢迎来到血吸村,阿智太郎,1
470,女王之刃,冲田荣次,1
471,刀剑神域(SAO／ALO／GGO／UW),川原砾,0
472,看着月亮说着谎话,日日日,1
473,AURA 魔龙院光牙最后的战斗,田中罗密欧,1
474,Narcissus 水仙花,片冈智晴,1
475,幽灵勇者,神代创,1
476,旋风管家,筑地俊彦,1
477,加奈～妹妹～,大仓邦彦,1
478,428被封锁的涩谷,北岛行德,1
479,怪物猎人2G 灵魂继承者,冰上慧一,1
480,基因之种,高平鸣海,1
481,魔界新娘！,阿智太郎,1
482,Tales of Symphonia 交响曲传奇 拉塔特斯克的骑士(仙乐传说),矢岛沙罗,1
483,The Idol M@ster(偶像大师),斎藤ゆうすけ,1
484,R.O.D(读或死),仓田英之,1
485,渚的最强音(渚的极强音),城崎火也,1
486,最后的彼得潘,日日日,1
487,人体战舰,大迫纯一,1
488,献给某飞行员的恋歌,犬村小六,1
489,七色的铃铛,红玉伊月,1
490,莱茵河的囚徒,田中芳树,1
491,神曲奏界 金,大迫纯一,1
492,佐藤家的选择,贝花大介,1
493,Tales of Destiny 命运传奇 苍黑的思念(宿命传说),矢岛沙罗,1
494,绯色的碎片,水泽なな,1
495,创立！？三星学生会,佐佐原史绪,1
496,征服世界是可能的吗？,冈田斗司夫,1
497,欢迎光临美少女游戏世界,田尾典丈,1
498,魔女宅急便,角野荣子,1
499,香草追击 A sweet partner,朝浦,1
500,神父与恶魔,志麻友纪,1
501,替身伯爵系列,清家未森,0
502,幻兽少年,梦枕貘,1
503,RIGHT×LIGHT,司,1
504,九之契约书,二阶堂纮嗣,1
505,Tales of Phantasia 幻想传奇 悠久的时空(幻想传说),矢岛沙罗,1
506,本格推理委员会,日向正道,1
507,Tales of Destiny 命运传奇 命运传承者(宿命传说),矢岛沙罗,1
508,此处前方是荒野,水无神知宏,1
509,东方梦月抄,ZUN,1
510,卒业,渡边麻实,1
511,狂骨之梦,京极夏彦,1
512,公主心,高殿円,1
513,龙背上的骑兵,映岛巡,1
514,剑之女王与烙印之子,杉井光,1
515,迷途猫(娇蛮猫娘大横行!),松智洋,1
516,幸运星 悠闲的日子,待田堂子,0
517,邪马台国战记 圣战少女：遥,树田省治,1
518,现视研 拝入兰人的野心,饭田和敏,1
519,向阳素描 欢迎来到向阳庄,日暮茶坊,1
521,校园迷糊大王,ときたひろこ,1
522,痕~舍异传,西山英志,1
523,名侦探柯南 小提琴之谜,青山刚昌,1
524,少年天草的秀逗咒语,牧野修,1
525,真·恋姬无双 少女缭乱 三国志演义,小林正亲,1
526,一个人的好天气,青山七惠,1
527,魔王,伊坂幸太郎,1
529,斩魔大圣,凉风凉,1
530,名侦探柯南,平良窿久,1
531,苍穹女武神(苍穹的驱真),橘公司,1
532,两个爱丽丝与不可思议的少女们,冈崎いずみ,1
533,东宫家的石像怪,田口仙年堂,1
534,狂野历险 the 4th Detonator,细江ひろみ,1
535,狂野历险 ADVANCED 3rd,细江ひろみ,1
536,狂野历险 Alter code:F,细江ひろみ,1
537,狂野历险 the Vth Vanguard,细江ひろみ,1
538,生化危机 空白玫瑰,爱泽匡,1
539,JOJO的奇妙冒险,乙一,1
540,秋之回忆2,KID,1
541,秋之回忆 从今以后,KID,1
542,萌单,桑岛由一,1
543,传颂之物,Flight-Plan,1
546,圣斗士官方小说,浜崎达也,1
547,乙一作品集,乙一,1
548,灼热的龙骑兵,田中芳树,1
549,.hack／／CELL,凉风凉,1
550,.hack／／G.U.,滨崎达也,1
551,.hack／／ANOTHER BIRTH,川崎美羽,1
552,地狱少女,天羽沙夜,1
553,克蕾利亚传说,山本一郎,1
554,天元突破 红莲之眼,砂山藏澄,1
555,罗密欧的灾难,来乐零,1
556,恋姬无双外传 紫电一闪!!华蝶假面,御门智,1
557,重回那天,健速,1
558,黏黏妖美少女,木村航,1
559,秋之回忆 从今以后Again,KID,1
560,护花之龙的叙情诗,淡路帆希,1
561,你是主我是仆,布施はるか,1
562,翼年代记,桃生圣史,1
563,死神候补生,小林正亲,1
564,初恋限定,平林佐和子,1
565,大剑Claymore,桃生圣史,1
566,翼神世音,大野木宽,1
567,这样算是僵尸吗(这个是僵尸吗),木村心一,0
568,EME Black,泷川武司,1
569,EME BLUE,泷川武司,1
570,EME RED,泷川武司,1
571,To Love 出包王女,若月光,1
572,秋叶原@DEEP,石田衣良,1
573,失落的碎片,星家なこ,1
574,池袋西口公园,石田衣良,1
575,死亡倒数游戏～他能在当天免于一死吗～,小木君人,1
576,HP 公主天国,风见周,1
577,强袭魔女,山口升,1
578,复活之地,小川一水,1
579,攻壳机动队 宇宙生化人,远藤明范,1
580,英国恋爱物语·艾玛,久美沙织,1
581,苍海的少女们,白鸟士郎,1
582,杀戮轮回 ALL YOU NEED IS KILL,樱坂洋,1
583,菩提树庄的暗狩姬,凉元悠一,1
584,吸血鬼骑士官方小说,藤咲あゆな,1
585,星之声,合作,1
586,魔像怪×少女,大凹友数,1
587,无尽黑夜与永眠梦境,西尾维新,1
588,优质美少女,樋口橘,1
589,亚雷克森传奇,五代ゆう,1
590,格兰蒂亚,细江ひろみ,1
591,波罗的海复仇记,田中芳树,1
592,封闭的世界,谷川流,1
593,白人萠乃与世界危机,七月隆文,1
594,风水学园,夏绿,1
595,叛红猎杀,在原竹广,1
596,绅士游戏,赤城毅,1
597,战争时代·下课后防卫队,柿沼秀树,1
598,在暗夜中寻找羔羊,穗史贺雅也,1
599,英国奇异谭,篠原美季,1
600,樱乃绮罗帆系列,月见草平,1
601,勇者物语,宫部美雪,1
602,女仆刑事,早见裕司,1
603,寄生前夜,濑名秀明,1
604,光之战士,卫藤乱星,1
605,海贼王剧场小说,滨崎达也,1
606,拔刀狂想曲,宫泽周,1
607,月之少女,渡边まさき,1
608,战姬,夏绿,1
609,隔邻的魔法师,筱崎砂美,1
610,快打城市slum online,樱坂洋,1
611,NANA,矢泽爱,1
612,便当(半价便当争夺战),朝浦,1
613,幻影父亲,深泽美潮,1
614,除爆之刃,照下土龙,1
615,潜水艇,水城正太郎,1
616,梦幻不思议卷轴·七宝绮谭,津守时生,1
617,超时空要塞 边界,小太刀右京,1
618,蒸汽男孩,村井さだゆき,1
619,秋叶少年,将吉,1
620,郭德堡变奏曲,五代ゆぅ,1
621,Type Moon DRAMA CD,奈须蘑菇,1
622,尸人狩猎者,葛西伸哉,1
623,汪汪地狱犬,芜木统文,1
625,寂静岭官方小说,山下定,1
626,欢迎光临日本上空,佐佐原史绪,1
627,虎跃龙笑,嬉野秋彦,1
628,烟囟町的赤魔与绝望少年,ゆうきりん,1
629,魔壶妖精,鲷津裕太,1
630,至死方休的纠缠,前田荣,1
631,伊佐与雪,友谷苍,1
632,交响乐之雨 妖精之书,西川真音,1
633,最终幻想XIII官方前传小说,映岛巡,1
634,战国BASARA2,安曾了,1
635,D.C.F.S.初音岛四季的回忆,佐佐宫ちるだ,1
636,火影忍者官方小说,日下部匡俊,1
637,樱兰高中男公关部,土井佐智子,1
